Nome_Montadora;Nome_Modelo;Ano_Inicio;Ano_Fim;Classificacao_Modelo;Filtro_Cambio;Codigo_Cambio
Audi;A1;2010;2025;1.4 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A1;2010;2025;Sportback 1.4;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A1;2010;2025;Sportback 1.8;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;1.6 E 1.8;WFC-538 / WFC-938;01M / AG4
Audi;A3;2;2025;1.8;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;2.0;WFC-937 / WFC-940 / WOEC-001;DSG / S-Tronic
Audi;A3;2;2025;2.5 TFSI;WFC-238 / WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;Cabriolet 1.8;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;Sportback;WFC-238;DSG / S-Tronic
Audi;A3;2;2025;Sportback 1.4 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;Sportback 2.5 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A4;1990;2025;1.8 E 2.0 E 2.4;WFC-538 / WFC-938;01M / AG4
Audi;A4;1990;2025;1.8 E 2.0 E 3.0 E 3.2;WFC-997 / WFC-998;JF015 / CVT7
Audi;A4;1990;2025;1.8 E 2.8 E 3.0;WFC-503 / WFC-903;ZF 5HP19
Audi;A4;2007;2015;1.8 TFSI;WFC-214;DAW / VL380 / VL381
Audi;A4;1990;2025;2.0;WFC-937 / WFC-940 / WOEC-001;DSG / S-Tronic
Audi;A4;2008;2015;2.0 TFSI;WFC-214;DAW / VL380 / VL381
Audi;A4;2007;2012;3.2 FSI;WFC-214;DAW / VL380 / VL381
Audi;A4;1990;2025;Padrão;WFC-948;A518 / ZF6HP26
Audi;A5;2014;2017;1.8 TFSI;WFC-214;DAW / VL380 / VL381
Audi;A5;2014;2017;1.8 TFSI;WFC-210;VL380 / VL381
Audi;A5;2008;2013;2.0 TFSI;WFC-214;DAW / VL380 / VL381
Audi;A5;2008;2013;2.0 TFSI;WFC-210;VL380 / VL381
Audi;A5;2013;2025;2.0 TFSI ->;WFC-214;DAW / VL380 / VL381
Audi;A5;2013;2025;2.0 TFSI ->;WFC-210;VL380 / VL381
Audi;A5;2007;2025;3.0 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A5;2007;2025;3.0 TFSI;WFC-997 / WFC-998;JF015 / CVT7
Audi;A5;2007;2012;3.2 FSI;WFC-214;DAW / VL380 / VL381
Audi;A5;2007;2012;3.2 FSI;WFC-210;VL380 / VL381
Audi;A6;2015;2025;2.0 TFSI S-tronic;WFC-207;ZF 8HP
Audi;A6;1998;2005;2.5 E 2.8 E 4.2;WFC-945;5HP24 / ZF5HP24
Audi;A6;1;2025;2.8 E 3.0;WFC-503 / WFC-903;ZF 5HP19
Audi;A6;1;2025;3.0;WFC-997 / WFC-998;JF015 / CVT7
Audi;A6;1;2025;Padrão;WFC-948;A518 / ZF6HP26
Audi;A7;2012;2025;3.0;WFC-997 / WFC-998;JF015 / CVT7
Audi;A7;2012;2025;3.0 TFSI;WFC-999;DL500 / RS6 / 7SPD...
Audi;A7;2012;2025;3.0 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A8;1999;2002;3.3 E 3.2 E 6.0;WFC-945;5HP24 / ZF5HP24
Audi;A8;2;2025;3.7 E 4.2;WFC-503 / WFC-903;ZF 5HP19
Audi;A8;2;2025;Padrão;WFC-948;A518 / ZF6HP26
Audi;A8;2;2025;V6 3.0 E 3.2 E 3.7 E 4.2l;WFC-949;ZF6HP19 / ZF6HP21
Audi;Q3;13;2025;2.0;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;Q3;13;2025;2.0 E 2.5 TFSI;WFC-238;DSG / S-Tronic
Audi;Q3;13;2025;2.5 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;Q5;13;2025;2.0 E 3.0;WFC-997 / WFC-998;JF015 / CVT7
Audi;Q5;13;2025;3.0 TFSI;WFC-999;DL500 / RS6 / 7SPD...
Audi;Q5;13;2025;3.0 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;Q5;2012;2025;TFSI 2.0;WFC-207;ZF 8HP
Audi;Q7;6;2025;3.0 TFSI;WFC-224;0C8 / TR80SD
Audi;Q7;6;2025;3.6;WFC-997 / WFC-998;JF015 / CVT7
Audi;Q7;6;2025;3.6;WFC-950 / WFC-951;ZF 8HP
Audi;Q7;6;2025;V6 3.6;WFC-949;ZF6HP19 / ZF6HP21
Audi;R8;2009;2025;3.0 TFSI;WFC-999;DL500 / RS6 / 7SPD...
Audi;R8;2009;2025;3.0 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;R8;2009;2025;5.2 FSI;WFC-238 / WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;R8 Spyder;2009;2025;5.2 FSI;WFC-238 / WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;RS3;12;16;2.5 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;RS3;12;16;Padrão;WFC-238;DSG / S-Tronic
Audi;RS5;10;2025;3.0 TFSI;WFC-999;DL500 / RS6 / 7SPD...
Audi;RS5;10;2025;3.0 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;Rs6;3;4;4.2;WFC-503 / WFC-903;ZF 5HP19
Audi;S6;2;2025;Padrão;WFC-503 / WFC-903;ZF 5HP19
Audi;TT;6;2025;2.5 Rs;WFC-238 / WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
BMW;116I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;118I;1990;2025;2.0 E 120I 2.0 E 125I 2.0;WFC-901;6L45
BMW;118I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;120I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;125I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;135I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;318I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;320I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;323I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;323I 325I | 328I | 525I | 528I;1990;95;Padrão;WFC-946;5L40 / 5L40E
BMW;325I;1990;2025;2.5 E 3.0;WFC-901;6L45
BMW;325I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;328I;1990;2025;2.5 E 3.0;WFC-901;6L45
BMW;330I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;335I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;530I;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;540I;1996;2003;V8 4.4;WFC-945;5HP24 / ZF5HP24
BMW;545I;3;5;Padrão;WFC-948;A518 / ZF6HP26
BMW;550I;6;9;Padrão;WFC-948;A518 / ZF6HP26
BMW;740I;1996;2001;4.4 V8;WFC-945;5HP24 / ZF5HP24
BMW;740I;92;98;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;745I;1;5;4.4 V8;WFC-948;A518 / ZF6HP26
BMW;750I;87;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;E31 On;1995;2025;Padrão;WFC-945;5HP24 / ZF5HP24
BMW;Gran Coupe;1990;2025;3.0;WFC-950 / WFC-951;ZF 8HP
BMW;M3;1990;2025;Padrão;WFC-227 / WFC-228 / WFC-229 / WFC-230;DSG / S-Tronic
BMW;Serie 1;1990;2025;1.6 E 2.0;WFC-950 / WFC-951;ZF 8HP
BMW;Serie 1;1990;2025;1.6 E 2.0 E 3.0;WFC-901;6L45
BMW;Serie 3;1990;2025;2.0 E 2.2 E 2.5 E 3.0;WFC-503 / WFC-903;ZF 5HP19
BMW;Serie 3;1990;2025;Padrão;WFC-948;A518 / ZF6HP26
BMW;Serie 5;1990;2025;2.5;WFC-503 / WFC-903;ZF 5HP19
BMW;Serie 5;1990;2025;2.5 E 3.0;WFC-901;6L45
BMW;Serie 5;1990;2025;Padrão;WFC-948;A518 / ZF6HP26
BMW;Serie 6;1990;2025;3.0;WFC-901;6L45
BMW;Serie7;1990;2025;Padrão;WFC-948;A518 / ZF6HP26
BMW;Series 3 E 5 | X3 | X5;3;2025;Padrão;WFC-946;5L40 / 5L40E
BMW;Série 6;3;2025;Padrão;WFC-948;A518 / ZF6HP26
BMW;X1;2018;2025;2.0;WFC-901;6L45
BMW;X1;2018;2025;2.0 E 3.0;WFC-950 / WFC-951;ZF 8HP
BMW;X1 Xdrive;2018;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;X3;3;2025;2.5 E 3.0;WFC-901;6L45
BMW;X3;3;2025;Padrão;WFC-948;A518 / ZF6HP26
BMW;X5;1990;2025;4.4;WFC-949;ZF6HP19 / ZF6HP21
BMW;X5;1998;2003;4.4 E 4.6;WFC-945;5HP24 / ZF5HP24
BMW;X5;1990;2025;Padrão;WFC-948;A518 / ZF6HP26
BMW;X5 3.0-(todos );1990;2025;Padrão;WFC-950 / WFC-951;ZF 8HP
BMW;X6;1990;2025;Padrão;WFC-948;A518 / ZF6HP26
BMW;X6 Xdrive;1990;2025;Padrão;WFC-949;ZF6HP19 / ZF6HP21
BMW;Z4;2;2025;2.2 E 2.5 E 3.0;WFC-503 / WFC-903;ZF 5HP19
BMW;Z4;2;2025;2.5 E 3.0;WFC-949;ZF6HP19 / ZF6HP21
BMW;Z4;2;2025;3.0;WFC-901;6L45
BMW;Z4;2;2025;Padrão;WFC-227 / WFC-228 / WFC-229 / WFC-230;DSG / S-Tronic
Chery;Tiggo A3;2009;2025;2.0;WFC-904;AL4 / DP0
Chery;Tiggo A5;2009;2025;2.0;WFC-904;AL4 / DP0
Chrysler;300;1990;2025;3.5;WFC-969 / WFC-970;W6040 / AF13 / 4L30-E...
Chrysler;300C;1990;2025;3.6 E 5.7;WFC-527 / WFC-927;722.6 (Mercedes 5M)
Chrysler;Grand Caravan;93;2025;2.4 E 3.3 E 3.5;WFC-959;A604 / 41TE
Chrysler;Grand Caravan;93;2025;2.8 E 3.6 E 3.8 E 4.0;WFC-564 / WFC-964;62TE / 6 Marchas
Chrysler;PT Cruiser;1;10;2.4;WFC-959;A604 / 41TE
Chrysler;Stratus;95;97;2.0 E 2.5;WFC-959;A604 / 41TE
Chrysler;Town & Country;8;2025;2.8 E 3.6 E 3.8 E 4.0;WFC-564 / WFC-964;62TE / 6 Marchas
Citröen;C3 Picasso;1990;2025;1.6 E 2.0;WFC-904;AL4 / DP0
Citröen;C4;1990;2025;1.6 E 2.0;WFC-937 / WFC-940;DSG / S-Tronic
Citröen;C4 Picasso;1990;2025;1.6 E 2.0;WFC-904;AL4 / DP0
Citröen;C5;1990;2025;2.0;WFC-904;AL4 / DP0
Citröen;C5;1990;2025;2.0;WFC-937 / WFC-940;DSG / S-Tronic
Citröen;C6;1990;2025;3.0;WFC-937 / WFC-940;DSG / S-Tronic
Citröen;C8;1990;2025;2.0;WFC-904;AL4 / DP0
Citröen;Evasion;1990;2025;2.0;WFC-904;AL4 / DP0
Dodge;Challenger;1990;2025;3.5;WFC-969 / WFC-970;W6040 / AF13 / 4L30-E...
Dodge;Dakota Pick Up;93;2025;V8 5.2;WFC-947;42RE / 46RE / 47RE...
Dodge;Durango;12;2025;3.6 V6;WFC-527 / WFC-927;722.6 (Mercedes 5M)
Dodge;Journey;12;2025;2.4 E 2.7 E 3.5 E 3.6;WFC-564 / WFC-964;62TE / 6 Marchas
Dodge;Nitro;7;8;3.7 V6;WFC-969 / WFC-970;W6040 / AF13 / 4L30-E...
Dodge;Ram 1500;1990;2025;3.7;WFC-969 / WFC-970;W6040 / AF13 / 4L30-E...
Dodge;Ram 1500 E 2500 E 3500;1990;2025;V8 5.2 E 5.9;WFC-947;42RE / 46RE / 47RE...
Dodge;Ram 2500;2013;2025;TDI 6.7 V6 24V 330CV ->;WFC-952;68RFE / 45RFE / 55RFE...
Dodge;Ram 2500;2013;2025;TDI 6.7 V6 24V 330CV ->;WFC-950 / WFC-951;ZF 8HP
Fiat;Freemont;11;16;2.4;WFC-564 / WFC-964;62TE / 6 Marchas
Fiat;Freemont;11;16;2.4;WFC-959;A604 / 41TE
Fiat;Toro;2016;2025;1.8;WFC-942;TF70SC / AT6
Ford;Ecosport;2018;2025;1.5 3CIL;WFC-235;6F15
Ford;Ecosport;3;2025;2.0;WFC-907;6F35
Ford;Edge;8;2025;3.5;WFC-914;6F50N / 6T70 / 6T75
Ford;Focus;3;2025;1.6 E 1.8 E 2.0;WFC-908;4F27E
Ford;Fusion;6;2025;2.0;WFC-907;6F35
Ford;Fusion;6;2025;2.3;WFC-505 / WFC-905;FNR5
Ford;Fusion;2009;2013;2.5 E 3.0;WFC-239;6F35
Ford;Ka;2019;2025;1.5 3CIL ->;WFC-235;6F15
Ford;New Fiesta;14;2025;1.6;WFC-908;4F27E
Ford;Ranger;1990;2025;3.0;WFC-978 / WFC-979;6R80
Ford;Ranger;1990;2025;3.2;WFC-978 / WFC-979;6R80
Chevrolet/GM;Astra;1997;2025;2.0 ->;WFC-917;AW50-40 / AW55-50
Chevrolet/GM;Captiva;1990;2025;2.4;WFC-912;4T40E / 4T45E
Chevrolet/GM;Captiva;1990;2025;2.4 V6 E 3.0;WFC-913;Chevrolet/GM 6T30/40/45 (6M)
Chevrolet/GM;Captiva;1990;2025;3.6;WFC-914;6F50N / 6T70 / 6T75
Chevrolet/GM;Cobalt;1990;2025;1.4 E 1.8;WFC-914;6F50N / 6T70 / 6T75
Chevrolet/GM;Corsa Classic;1996;2009;1.6;WFC-969 / WFC-970;W6040 / AF13 / 4L30-E...
Chevrolet/GM;Cruze;1990;2025;1.4 E 1.8;WFC-913;Chevrolet/GM 6T30/40/45 (6M)
Chevrolet/GM;Cruze;1990;2025;1.8;WFC-914;6F50N / 6T70 / 6T75
Chevrolet/GM;Equinox;2020;2025;1.5 172CV Turbo ->;WOEC-009;9BAB / 9T50
Chevrolet/GM;Equinox;2017;2025;2.0 262CV Turbo ->;WOEC-009;9BAB / 9T50
Chevrolet/GM;Malibu;1990;2025;2.4;WFC-913;Chevrolet/GM 6T30/40/45 (6M)
Chevrolet/GM;Malibu;1990;2025;2.4 E 3.1;WFC-912;4T40E / 4T45E
Chevrolet/GM;Omega Australiano;1990;2025;Padrão;WFC-946;5L40 / 5L40E
Chevrolet/GM;Onix;1990;2025;1.4;WFC-915;Chevrolet/GM 6T30/40/45 (6M)
Chevrolet/GM;Onix;2016;2025;1.4 ->;WFC-208;Chevrolet/GM 6T30/40/45 (6M)
Chevrolet/GM;S10;1990;2025;2.8;WFC-516 / WFC-916;6L50
Chevrolet/GM;Sonic;1990;2025;1.6;WFC-915;Chevrolet/GM 6T30/40/45 (6M)
Chevrolet/GM;Spin;1990;2025;1.8;WFC-915;Chevrolet/GM 6T30/40/45 (6M)
Chevrolet/GM;Trailblazer;1990;2025;2.8 E 3.6;WFC-516 / WFC-916;6L50
Chevrolet/GM;Vectra;1990;2025;2.0 E 2.2 E 2.4;WFC-917;AW50-40 / AW55-50
Chevrolet/GM;Zafira;1997;2025;2.0 ->;WFC-917;AW50-40 / AW55-50
Honda;Accord;1;2025;2.0;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Honda;Accord;1;2025;2.0 E 2.4 E 3.5;WFC-920;MCVA / MRMA / MRVA...
Honda;CRV;2;2025;2.0;WFC-921;BMXA / SLXA
Honda;CRV;2;2025;2.0;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Honda;CRV;2;2025;2.0;WFC-920;MCVA / MRMA / MRVA...
Honda;City;9;2025;1.5;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Honda;Civic;1;2025;1.5 Touring;WFC-572 / WFC-972;14-UP CVT / 98725 CVT / HCF2...
Honda;Civic;1;2025;1.7;WFC-921;BMXA / SLXA
Honda;Civic;1;2025;1.8 E 2.0;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Honda;Civic;1;2025;1.8 E 2.0;WFC-920;MCVA / MRMA / MRVA...
Honda;Civic;1;2025;2.0;WFC-572 / WFC-972;14-UP CVT / 98725 CVT / HCF2...
Honda;Civic;1;2025;CVT;WFC-572 / WFC-972;14-UP CVT / 98725 CVT / HCF2...
Honda;Civic;2017;2025;Turbo Touring 1.5 16V;WFC-227 / WFC-228 / WFC-229 / WFC-230;DSG / S-Tronic
Honda;Fit;3;2025;1.4 E 1.5;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Honda;Fit;3;2025;1.4 E 1.5;WFC-920;MCVA / MRMA / MRVA...
Honda;Fit;3;2025;1.4 E 1.5;WFC-961;SMMA / SMVA / SWRA
Honda;Fit;3;2025;1.5;WFC-572 / WFC-972;14-UP CVT / 98725 CVT / HCF2...
Honda;Fit;3;2025;1.5;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Honda;Hr-v;1990;2025;1.8;WFC-572 / WFC-972;14-UP CVT / 98725 CVT / HCF2...
Honda;Hr-v;1990;2025;1.8;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Hyundai;Atos;1998;2008;1.0 E 1.1;WFC-209;JF405
Hyundai;Azera;7;2025;3.3 3.8;WFC-943;A6LF1 / A6LF2 / A6LF3
Hyundai;Creta;17;2025;1.6;WFC-925;A6GF1 / A6MF1 / A6MF2...
Hyundai;Elantra;1990;2025;2.0;WFC-925;A6GF1 / A6MF1 / A6MF2...
Hyundai;Hb20;12;2025;1.6;WFC-924 / WFC-988;A4CF0 / A4CF1 / A4CF2
Hyundai;I30;2008;2025;1.6 E 1.8 E 2.0;WFC-924 / WFC-988;A4CF0 / A4CF1 / A4CF2
Hyundai;Ix35;2010;2025;2.0;WFC-925;A6GF1 / A6MF1 / A6MF2...
Hyundai;Santa Fe;1990;2025;3.3 3.5;WFC-943;A6LF1 / A6LF2 / A6LF3
Hyundai;Santa Fé;1990;2025;V6 2.7 E 3.5;WFC-923;A5GF1 / A5HF1 / F5A51...
Hyundai;Sonata;2;2025;2.4 3.5;WFC-943;A6LF1 / A6LF2 / A6LF3
Hyundai;Tucson;4;2025;2.0 E 2.7;WFC-923;A5GF1 / A5HF1 / F5A51...
Hyundai;Vera Cruz;7;2025;3.8 V6;WFC-937 / WFC-940;DSG / S-Tronic
Infiniti;Fx50;1990;2025;5.0 V8;WFC-245;JR710E / JR711E / RE7R01A
Jaguar;S-type;1990;2025;2.0 E 2.5;WFC-503 / WFC-903;ZF 5HP19
Jaguar;S-type;1990;2025;Padrão;WFC-948;A518 / ZF6HP26
Jaguar;Xj;1996;2002;3.2 E 4.0;WFC-945;5HP24 / ZF5HP24
Jaguar;Xj;93;2025;Padrão;WFC-948;A518 / ZF6HP26
Jaguar;Xj8;1998;2003;3.2 E 4.0;WFC-945;5HP24 / ZF5HP24
Jaguar;Xk8;1996;2002;4.0;WFC-945;5HP24 / ZF5HP24
Jeep;Cherokee;2;2025;2.5;WFC-215;A340H / AW4
Jeep;Cherokee;2;2025;4.0;WFC-215;A340H / AW4
Jeep;Compass;12;2025;2.0;WFC-942;TF70SC / AT6
Jeep;Compass;2012;2015;2.0 16V;WEOC-001;JF011E / REOF10A
Jeep;Grand Cherokee;1990;2025;3.0;WFC-950 / WFC-951;ZF 8HP
Jeep;Grand Cherokee;1990;2025;3.0 E 4.7 E 5.7;WFC-527 / WFC-927;722.6 (Mercedes 5M)
Jeep;Grand Cherokee;1990;2025;V8 5.2;WFC-947;42RE / 46RE / 47RE...
Jeep;Liberty;1;2;3.7;WFC-969 / WFC-970;W6040 / AF13 / 4L30-E...
Jeep;Renegade;2015;2025;1.8;WFC-942;TF70SC / AT6
Jeep;Wrangler;7;2025;3.8 E 4.0;WFC-969 / WFC-970;W6040 / AF13 / 4L30-E...
Kia;Cadenza;2011;2025;Padrão;WFC-943;A6LF1 / A6LF2 / A6LF3
Kia;Cerato;5;2025;1.6;WFC-924 / WFC-988;A4CF0 / A4CF1 / A4CF2
Kia;Mohave;2008;2025;Padrão;WFC-948;A518 / ZF6HP26
Kia;Mohave Td;2008;2025;3.0 V6 ->;WFC-227 / WFC-228 / WFC-229 / WFC-230;DSG / S-Tronic
Kia;Picanto;6;2025;1.0 E 1.1;WFC-924 / WFC-988;A4CF0 / A4CF1 / A4CF2
Kia;Picanto;2004;2017;1.0 E 1.1 E 1.2;WFC-209;JF405
Kia;Sorento;4;2025;2.4;WFC-925;A6GF1 / A6MF1 / A6MF2...
Kia;Sorento;4;2025;2.5;WFC-923;A5GF1 / A5HF1 / F5A51...
Kia;Sorento;4;2025;3.5;WFC-943;A6LF1 / A6LF2 / A6LF3
Kia;Sorento;4;2025;3.8 E 3.5 E 3.3 E 2.5;WFC-971;RE5R05A / A5SR1 / A5SR2
Kia;Soul;11;2025;1.6;WFC-924 / WFC-988;A4CF0 / A4CF1 / A4CF2
Kia;Soul;11;2025;1.6;WFC-925;A6GF1 / A6MF1 / A6MF2...
Kia;Sportage;1;2025;2.0;WFC-925;A6GF1 / A6MF1 / A6MF2...
Kia;Sportage;1;2025;2.0 E 2.7;WFC-923;A5GF1 / A5HF1 / F5A51...
Lifan;X60;2013;2025;1.8;WFC-234;CVT
